Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
12/01/2019,975656,192884,1634101,608333,8830237,1447324,842355,218185,245877,4148903,2147807,345355,411503,3087207,1524524,737577,685264,1010864,989552,326722,1319597,1698393,2306105,1314649,590436,1439198,281596,444250,752856,292733,2146909,467624,5635966,2087497,188670,2674217,901040,1049628,3115171,233035,1004783,225385,1433869,5564321,770385,148526,1793873,1698309,455835,1310739,153641
12/02/2019,834134,171789,1429176,520863,7572447,1247190,791427,185269,233523,3651259,1858666,309619,364017,2687703,1339775,636875,591327,898447,859680,303793,1123785,1702668,1964354,1105841,505811,1247403,251504,372520,670413,317473,1940287,413704,5277302,1800860,162151,2371320,773390,924738,2829672,217266,870455,187408,1265915,4829137,646469,148885,1556849,1458192,405602,1107809,136138
12/03/2019,817250,169581,1395342,509396,7471642,1223071,751058,182709,234526,3602628,1813423,305639,350271,2627719,1304465,613087,580029,868642,843007,351740,1089455,1744956,1919004,1064260,494340,1220613,241762,363280,661818,293033,1738242,409864,4893337,1776280,156146,2306195,758134,905832,2618400,228336,854382,179711,1233427,4780470,632574,137107,1523880,1426615,399319,1083576,134151
12/04/2019,824195,171501,1417473,515541,7781005,1231495,688304,183519,235014,3604182,1824424,316549,352315,2626372,1306339,620451,580667,874132,850614,288363,1095548,1486418,1917022,1068316,501674,1220914,246443,363185,677379,246551,1717626,416187,4818806,1774526,154756,2310254,762360,917831,2624780,203289,857588,182435,1239573,4793223,639220,138204,1531285,1450079,395900,1082887,133867
12/05/2019,813811,169832,1397202,508361,7496904,1238888,685649,181598,237228,3594557,1824987,305246,348895,2625561,1304137,614959,573013,874015,840501,280478,1087159,1477786,1926720,1059931,494736,1214169,245650,363066,659199,245652,1720150,417690,4825867,1761739,155406,2293630,759215,904779,2609895,203234,851163,180081,1232166,4771963,633779,138264,1520514,1428322,395172,1075962,133080
12/06/2019,811916,166119,1390532,505276,7418952,1221846,687124,178057,229906,3546863,1809561,298998,346528,2612107,1306715,611213,570542,871076,827103,282957,1081564,1483759,1915302,1046980,488986,1203484,240421,354788,647654,252363,1704626,406310,4798981,1746422,152689,2291223,752474,905401,2599813,201918,850595,177129,1228496,4701597,631120,137303,1518827,1424881,396437,1067215,130859
12/07/2019,920450,186260,1561608,576030,8575933,1371738,761561,199678,243122,3943662,2023056,333686,389589,2887556,1440261,675561,636049,958881,938236,316871,1211916,1612980,2119297,1182701,553150,1352293,268411,399058,728382,275866,1906752,452590,5227305,1948495,168663,2531832,853704,1029201,2839060,220949,928899,193317,1373224,5248852,710867,147510,1678034,1635934,432662,1184399,145890
12/08/2019,1011901,184684,1640753,628547,8526657,1428194,821783,216333,246856,4235500,2220198,333613,405549,3083456,1566993,742031,690792,1037829,1008892,334393,1306475,1678112,2307160,1238918,602815,1455427,283751,442113,722596,300835,2081071,464750,5446498,2112072,183770,2752883,911220,1029551,3055372,231663,1022004,208284,1481369,5587726,762498,160245,1804118,1651754,462491,1275959,150295
12/09/2019,1027171,178402,1579554,642576,8238863,1396978,784752,203841,241414,4007814,2101596,315156,394225,3081341,1515201,760999,706040,1018705,1014739,324484,1209597,1627787,2205311,1302505,608488,1482032,274315,457850,714363,287076,1973226,449456,5196991,1970649,186577,2647689,933327,1002458,2925546,227238,972041,220301,1474578,5588990,711830,149499,1719434,1588401,450745,1297904,148094
12/10/2019,840635,168863,1389041,517746,7421713,1220221,692326,181933,230236,3569775,1830223,302174,348469,2637713,1310519,627861,578910,888599,856236,287966,1079262,1468820,1933682,1087642,508385,1224677,245772,368321,646447,246587,1703324,406326,4820827,1763391,157273,2313656,767062,912880,2603564,205746,857003,182687,1268073,4816592,631084,137361,1523783,1435736,401564,1092986,132397
12/11/2019,829130,167860,1378438,515909,7361197,1202837,736295,183903,229268,3569033,1819504,301547,349695,2622654,1316276,634393,571502,888489,844080,285816,1086526,1507916,1941492,1083975,498844,1216993,247954,365495,645620,250765,1740877,405826,4847510,1776042,157551,2322205,764365,909244,2621683,212288,860178,182112,1261766,4708824,621513,139616,1536498,1435521,406276,1093397,132220
12/12/2019,796445,166357,1343901,492828,7138350,1183325,675798,174793,224749,3486413,1761726,294881,346010,2539430,1281623,610647,560365,856296,807960,283390,1050464,1433115,1885407,1059191,474125,1182197,238275,358539,632076,245259,1669838,397925,4687361,1718205,156213,2256889,736894,884237,2565819,201550,829712,176187,1196831,4551129,609320,137278,1477391,1385415,391520,1080668,127127
12/13/2019,795896,162460,1322081,483973,7048675,1162230,673080,172749,224310,3434968,1787160,286110,336929,2491501,1255218,595163,545717,839139,803129,279140,1049336,1421263,1850387,1026898,474698,1156192,233415,350014,621495,241189,1677524,389098,4682922,1753387,150307,2219111,724564,866819,2519506,196154,854895,169731,1192632,4463431,597166,132454,1502533,1363191,393870,1041252,127100
12/14/2019,899038,176437,1496846,555939,7926461,1353778,764693,197573,239433,3860485,1993228,306945,379972,2793846,1413213,667222,616302,951320,891021,319676,1193667,1594162,2092626,1170400,530880,1315972,264657,395358,680727,279990,1901641,440015,5185205,1940373,169695,2501835,814703,984968,2819375,220871,928639,193538,1346456,4989284,690347,150676,1666110,1549239,439996,1172095,142872
12/15/2019,958349,188509,1596611,590585,8443411,1463307,779647,206300,247864,4056499,2108232,322160,407093,2983907,1499054,720477,718264,993514,960580,320979,1237430,1621508,2181168,1220077,564068,1484019,277090,434918,730311,287543,1974810,462287,5314932,2009505,177286,2627038,879440,1036087,2928045,225439,973689,205346,1407422,5353205,753866,154217,1723003,1661543,455306,1229957,153555
12/16/2019,813984,170741,1385682,511024,7355008,1269119,689352,181151,234953,3551024,1811754,301272,351826,2679954,1358746,614607,655652,889096,834291,284393,1147133,1459353,1904810,1042704,492444,1495020,243460,365325,646772,245444,1731360,412049,4778219,1747162,153226,2336261,762051,912699,2643906,204582,852259,181142,1238220,4668674,627756,134561,1552164,1435456,417292,1069704,137261
12/17/2019,955044,176063,1512297,603404,8014100,1353275,860087,186607,233893,3750653,1967663,310382,377630,2886269,1429067,700972,678424,956177,961059,306061,1126373,1655077,1999950,1178228,581338,1470633,268564,424397,701787,290339,1873355,438093,5110446,1842416,178825,2465879,880706,970781,2779138,229065,907487,203516,1368318,5316472,684671,146515,1609232,1544087,429467,1183581,144919
12/18/2019,801001,171482,1392273,499892,7775291,1228349,687983,173646,224164,3508609,1781877,325403,354245,2549453,1282592,599668,565435,869769,816767,282937,1052121,1437228,1901875,1043373,484380,1191338,246172,357472,674827,243345,1683956,411561,4732818,1714878,152573,2275621,743520,947498,2583422,198990,833677,178579,1212731,4624544,639861,133625,1483853,1493279,400429,1052735,134856
12/19/2019,1025216,167197,1528467,642061,7952175,1355268,763486,197917,234126,4016401,2128970,307762,382374,3014482,1499743,742819,696462,1011563,1018228,320286,1192014,1595234,2186597,1241479,610784,1458092,265463,443139,701728,283004,1955478,437045,5126179,1953958,178875,2621585,926380,982964,2906457,217449,971811,208568,1470706,5536920,683700,147876,1709859,1554094,453725,1248594,147004
12/20/2019,754576,162319,1327021,465308,7074988,1167049,665219,171788,221890,3389619,1722752,290750,327783,2408209,1225807,552297,518937,816751,774155,265333,1036775,1405834,1803887,968293,456412,1086747,228134,322526,628766,233773,1635538,391979,4634174,1665195,137653,2177194,693335,875740,2459497,191931,811552,164512,1153369,4411192,591209,129749,1443784,1386592,381164,976140,123243
12/21/2019,867876,176848,1492631,530224,7915763,1298628,733361,191054,234562,3808424,1928334,314279,372133,2685368,1362604,626380,590539,917879,892084,301656,1174413,1539094,2025486,1104426,519368,1252440,257257,368903,690980,263933,1843523,433858,5088261,1867760,158396,2418696,793940,993024,2746702,213522,904045,182942,1287373,4961835,667717,142184,1617878,1572316,423013,1107827,140777
