Dates,States,AtHomes
01-Dec-2019,AL,975656
01-Dec-2019,AK,192884
01-Dec-2019,AZ,1634101
01-Dec-2019,AR,608333
01-Dec-2019,CA,8830237
01-Dec-2019,CO,1447324
01-Dec-2019,CT,842355
01-Dec-2019,DE,218185
01-Dec-2019,DC,245877
01-Dec-2019,FL,4148903
01-Dec-2019,GA,2147807
01-Dec-2019,HI,345355
01-Dec-2019,ID,411503
01-Dec-2019,IL,3087207
01-Dec-2019,IN,1524524
01-Dec-2019,IA,737577
01-Dec-2019,KS,685264
01-Dec-2019,KY,1010864
01-Dec-2019,LA,989552
01-Dec-2019,ME,326722
01-Dec-2019,MD,1319597
01-Dec-2019,MA,1698393
01-Dec-2019,MI,2306105
01-Dec-2019,MN,1314649
01-Dec-2019,MS,590436
01-Dec-2019,MO,1439198
01-Dec-2019,MT,281596
01-Dec-2019,NE,444250
01-Dec-2019,NV,752856
01-Dec-2019,NH,292733
01-Dec-2019,NJ,2146909
01-Dec-2019,NM,467624
01-Dec-2019,NY,5635966
01-Dec-2019,NC,2087497
01-Dec-2019,ND,188670
01-Dec-2019,OH,2674217
01-Dec-2019,OK,901040
01-Dec-2019,OR,1049628
01-Dec-2019,PA,3115171
01-Dec-2019,RI,233035
01-Dec-2019,SC,1004783
01-Dec-2019,SD,225385
01-Dec-2019,TN,1433869
01-Dec-2019,TX,5564321
01-Dec-2019,UT,770385
01-Dec-2019,VT,148526
01-Dec-2019,VA,1793873
01-Dec-2019,WA,1698309
01-Dec-2019,WV,455835
01-Dec-2019,WI,1310739
01-Dec-2019,WY,153641
02-Dec-2019,AL,834134
02-Dec-2019,AK,171789
02-Dec-2019,AZ,1429176
02-Dec-2019,AR,520863
02-Dec-2019,CA,7572447
02-Dec-2019,CO,1247190
02-Dec-2019,CT,791427
02-Dec-2019,DE,185269
02-Dec-2019,DC,233523
02-Dec-2019,FL,3651259
02-Dec-2019,GA,1858666
02-Dec-2019,HI,309619
02-Dec-2019,ID,364017
02-Dec-2019,IL,2687703
02-Dec-2019,IN,1339775
02-Dec-2019,IA,636875
02-Dec-2019,KS,591327
02-Dec-2019,KY,898447
02-Dec-2019,LA,859680
02-Dec-2019,ME,303793
02-Dec-2019,MD,1123785
02-Dec-2019,MA,1702668
02-Dec-2019,MI,1964354
02-Dec-2019,MN,1105841
02-Dec-2019,MS,505811
02-Dec-2019,MO,1247403
02-Dec-2019,MT,251504
02-Dec-2019,NE,372520
02-Dec-2019,NV,670413
02-Dec-2019,NH,317473
02-Dec-2019,NJ,1940287
02-Dec-2019,NM,413704
02-Dec-2019,NY,5277302
02-Dec-2019,NC,1800860
02-Dec-2019,ND,162151
02-Dec-2019,OH,2371320
02-Dec-2019,OK,773390
02-Dec-2019,OR,924738
02-Dec-2019,PA,2829672
02-Dec-2019,RI,217266
02-Dec-2019,SC,870455
02-Dec-2019,SD,187408
02-Dec-2019,TN,1265915
02-Dec-2019,TX,4829137
02-Dec-2019,UT,646469
02-Dec-2019,VT,148885
02-Dec-2019,VA,1556849
02-Dec-2019,WA,1458192
02-Dec-2019,WV,405602
02-Dec-2019,WI,1107809
02-Dec-2019,WY,136138
03-Dec-2019,AL,817250
03-Dec-2019,AK,169581
03-Dec-2019,AZ,1395342
03-Dec-2019,AR,509396
03-Dec-2019,CA,7471642
03-Dec-2019,CO,1223071
03-Dec-2019,CT,751058
03-Dec-2019,DE,182709
03-Dec-2019,DC,234526
03-Dec-2019,FL,3602628
03-Dec-2019,GA,1813423
03-Dec-2019,HI,305639
03-Dec-2019,ID,350271
03-Dec-2019,IL,2627719
03-Dec-2019,IN,1304465
03-Dec-2019,IA,613087
03-Dec-2019,KS,580029
03-Dec-2019,KY,868642
03-Dec-2019,LA,843007
03-Dec-2019,ME,351740
03-Dec-2019,MD,1089455
03-Dec-2019,MA,1744956
03-Dec-2019,MI,1919004
03-Dec-2019,MN,1064260
03-Dec-2019,MS,494340
03-Dec-2019,MO,1220613
03-Dec-2019,MT,241762
03-Dec-2019,NE,363280
03-Dec-2019,NV,661818
03-Dec-2019,NH,293033
03-Dec-2019,NJ,1738242
03-Dec-2019,NM,409864
