State,beta,psi,alpha,xi,k,A,I0,ag,sq0,bg,TrueCases,TrueDeaths,DaysAfter,PeakCase,IFR,CRC,ReportRatio,TimePeak,JuneJuly,MayEndDC,asc
Alabama,5.90515511091303,1919.77570531893,0.142707443763807,0.004863825629475,0.202744406611893,2967.09239731376,353.475154918462,6.06824822394244,73547.7749999999,3.46063628662122,2.76572424321519,0.01723642381728,52,0.040348982768559,0.006232155595253,0.330196320224831,8.37599959118868,110,1.42297302671631,0.041908532142412,0.119388735530977
Alaska,5.56770889442842,6000,0.023923936034358,0.001882997277547,0.323169912081052,675.466666666667,353.48778572932,11.9959997102514,10973.175,1.7505835701258,0.620085014105116,0.001269600953951,51,0.048320716528624,0.002047462726999,0.060265454665502,10.2892281746955,51,0.4382505519141,0.002564226961264,0.097189019722521
Arizona,1.96361512554946,1968.32030217357,0.142857142857121,0.009978782927752,0.292904184441663,6630.70430749242,1.16726884352417,12,36393.5850789011,1.75,1.38126381236854,0.018003249948747,5,0.023223450394337,0.013033896774488,0.25657683901217,5.38343140279713,130,2.11812054239779,0.023681570392632,0.185755129986502
Arkansas,1.04805137477962,1.00160822722367,0.023012608748563,0.002445105372657,0.188225168588373,1622.93333333333,800,5.34192940837768,45267.06,3.93116389128354,2.05918047122672,0.006497906019611,50,0.033298064712031,0.003155578692789,0.227858217868412,9.03711303673891,130,1.16833299975744,0.033298064712031,0.110654807119781
California,2.19766595273239,1254.92668208974,0.05938203535484,0.009286004658563,0.405507092493041,68667.8,1.00000000915851,1.71224485520804,197561.115,12.2646010213583,1.21344216140237,0.014224201831991,4,0.020079736992175,0.011722191864137,0.264136582885843,4.59399507688341,87,0.984907885339683,0.016711199174062,0.217675461828837
Colorado,1.7623956919229,129.001986059063,0.012601391381495,0.005412564815894,0.168523092567535,4151.8961146257,798.158625856159,2.47222397182706,28793.8434926285,8.49437601095676,4.55992855949233,0.029164030642668,44,0.089037239987909,0.006395720955311,0.43743074941368,10.4243438889569,87,0.357439549234415,0.02983000357116,0.095929298827081
Connecticut,2.3040855101025,82.4872730035537,0.010642094122017,0.012580814792291,0.285413831263016,4361.06666666667,411.552894313046,3.17865207898597,17826.435,6.60657394334875,8.28082849773672,0.121809932152578,47,0.207918708861392,0.014709872591356,1.14884115650198,7.20798384604395,83,0.213419003855791,0.033512112548318,0.138735050099875
Delaware,1.77632642949696,62.0769295777217,0.005000000000493,0.004980123775851,0.239859623755516,1001,181.313403223483,2.47344962243256,4868.82,8.49016685423622,7.67851632611657,0.044987556918117,50,0.166004892844297,0.005858886666048,0.961867598276436,7.98292440651463,95,0.543252779934358,0.055619095208607,0.12526737685051
District of Columbia,1.67634034189396,55.0883790736222,0.005118183105943,0.007643331542845,0.25993188324272,785.934899368416,192.346566132365,11.9999999990488,3528.79807500155,1.75000000013872,8.3701656030063,0.076394881076852,46,0.166711424888713,0.009127045353728,1.1727752318895,7.13705864125458,91,0.471130671102616,0.054870514883263,0.140113742966839
Florida,4.4593731628566,795.015268740466,0.032113275051461,0.006402845200201,0.259770384561465,15940.8043732501,1.00001446242086,3.05354839224449,142690.325187878,6.87724486480599,1.79117931929265,0.014376447109134,40,0.040224328779929,0.008026246704775,0.261680123391495,6.84491927043652,74,1.92861566374521,0.020410070868125,0.146093761005924
