State,Baseline,Alt1,Change1,Alt2,Change2
Alabama,42063.4519253051,427209.685082109,915.631541226654,46644.3685005303,10.8904913067046
Alaska,46.159803937763,2110.37862102734,4471.89684746658,44.7554762984217,-3.04231716675996
Arizona,46577.4441168492,50597.3070074264,8.63049264895803,46687.4621012512,0.236204425743068
Arkansas,6367.53271803064,260689.433641391,3994.04152574213,8366.521797333,31.3934638080762
California,1048638.69485796,2188296.52140038,108.679741853011,1401871.75562849,33.6849157391027
Colorado,99237.6786126419,5720290.30970125,5664.23228522855,83497.5311536214,-15.8610597094473
Connecticut,663115.905641095,661940295.498914,99722.7142295668,146222128.098376,21950.7647086235
Delaware,3663.34525264168,694447.178431672,18856.6401892068,4038.8234320766,10.2495984828118
District of Columbia,17286.4576498688,254388.53756763,1371.6059398645,18089.8119308493,4.6473042496743
Florida,275627.119526102,21841884.4633335,7824.4322913098,326785.542642755,18.5607364052609
Georgia,196795.683912543,15988999.6608559,8024.66988247643,226453.569797519,15.0703944798688
Guam,225.900916652532,1348.18644416789,496.804326492218,174.37969222138,-22.8070010492251
Hawaii,65.2791939630915,8070.36985622948,12262.8515707354,63.4140128208244,-2.85723678408417
Idaho,858.813161351935,58437.8225554866,6704.48614265463,769.638512137047,-10.3834749195634
Illinois,1193060.9258542,280156591.244582,23382.169700931,1282351.82279485,7.48418584547307
Indiana,255739.488785336,49442588.7795995,19233.1851152252,225559.032604337,-11.8012499064359
Iowa,10931.7026820105,1054974.41140836,9550.59553937974,14080.6357246063,28.80551304947
Kansas,52213.6336467247,741009.18998352,1319.18717053319,40518.4830593454,-22.3986529390163
Kentucky,5599.71788415954,5622.63783243504,0.409305410551773,5600.53699859481,0.014627780402787
Louisiana,486976.442860457,260314642.691437,53355.2844409417,84923158.3224075,17338.8637412472
Maine,2487.83520358196,13776.0741743578,453.737408109796,2813.14882601568,13.0761724878455
Maryland,432618.090211354,99412082.6140386,22879.1783708053,469605.399639499,8.54964465542229
Massachusetts,671718.324864617,1611472380.95997,239802.995245032,649629098.517565,96611.5343545966
Michigan,676779.085854194,1177963900.83198,173954.418266371,390706079.809781,57630.2236396169
Minnesota,61647.7892575479,3956240.68088853,6317.48995144079,55171.4824644223,-10.5053350186968
Mississippi,24656.3040112868,347067.11171767,1307.6201832959,36876.807024567,49.5634017478292
Missouri,40728.2878458234,1799228.48108637,4317.63839397653,60954.6149545191,49.6616189348845
Montana,128.588032221439,7355.39701577557,5620.12565143619,131.78312467912,2.48475103202356
Nebraska,3212.66296552066,314584.601822985,9692.02005312132,3268.77282822439,1.74652191362492
Nevada,5054.66637552199,581626.401395982,11406.7218721417,5072.24653391325,0.347800568528014
New Hampshire,21828.0015690202,23190.4444732525,6.24172075452831,24075.1824168569,10.2949454201343
New Jersey,2698464.64189591,7793317645.16147,288705.623915308,1519363697.6619,56204.7473023183
New Mexico,3810.99119136622,5932.63656487952,55.6717469806773,1783.7944849835,-53.1934240880778
New York,158258504.572031,61080567753.631,38495.4409962406,159362080.237042,0.697324714393929
North Carolina,32535.3984033047,1227637.36743432,3673.23600656947,26632.2457456004,-18.1437847618448
North Dakota,446.159443916324,986.542845181044,121.118897881285,415.290122595888,-6.91889900378875
Northern Mariana Islands,24.4322947089289,1293.81616124369,5195.51635103214,23.7799531727241,-2.66999700182235
Ohio,148350.689284086,20504169.4914974,13721.4184177012,241040.98397108,62.4805284925206
Oklahoma,9237.18040637385,24901.4424602837,169.578392591544,7890.83020942306,-14.575337253582
Oregon,3400.8383754003,156273.273487344,4495.13967549104,3685.62482897371,8.37400729283082
Pennsylvania,629154.533695987,901154918.187566,143132.682898064,244078117.08115,38694.6210364735
Puerto Rico,9349.54312119957,102137.609705805,992.43423322166,12127.0755250765,29.7076805558448
Rhode Island,27293.5207639957,1257331.89006368,4506.70464956024,22359.7039338625,-18.0768793912497
South Carolina,34718.9536927098,1575383.40862947,4437.53135124076,45243.0317488151,30.312198199438
South Dakota,686.240372598491,75543.3396646368,10908.2913627753,737.345946730623,7.44718267428913
Tennessee,20933.001089026,2577386.19299751,12212.5498443159,16399.7035940478,-21.65622347077
Texas,284947.901762537,10295465.661668,3513.10457033924,266044.106352604,-6.63412339343583
Utah,662.82645920932,196066.820614028,29480.4154903403,687.318058647682,3.69502440617381
Vermont,1546.14009100346,3069.81340127815,98.5469117022774,1439.76419637453,-6.88009419378621
Virgin Islands,33.6336329325415,145.271891735366,331.924472823783,36.738324271395,9.23091283383075
Virginia,140886.957010711,13269659.0128287,9318.65683976684,145488.023215604,3.265785777844
Washington,158352.645872977,174437.327802686,10.1575075307623,170574.226431318,7.7179515952923
West Virginia,1250.24877847715,32799.3570096647,2523.42643914562,1484.32764565417,18.7225831535814
Wisconsin,79153.8607475142,83921.816346752,6.02365513723541,91032.5551988959,15.0070942076628
Wyoming,295.736217555827,4957.42125935863,1576.29832434129,288.901626635062,-2.3110429210365
