Date,State,Cum Tests,New Tests,,
07/03/2020,Alabama,0,0,,
08/03/2020,Alabama,0,0,,
09/03/2020,Alabama,0,0,,
10/03/2020,Alabama,0,0,,
11/03/2020,Alabama,10,10,,
12/03/2020,Alabama,10,0,,
13/03/2020,Alabama,12,2,,
14/03/2020,Alabama,28,16,,
15/03/2020,Alabama,40,12,,
16/03/2020,Alabama,56,16,,
17/03/2020,Alabama,64,8,,
18/03/2020,Alabama,74,10,,
19/03/2020,Alabama,96,22,,
20/03/2020,Alabama,109,13,,
21/03/2020,Alabama,152,43,,
22/03/2020,Alabama,1602,1450,,
23/03/2020,Alabama,1832,230,,
24/03/2020,Alabama,2321,489,,
25/03/2020,Alabama,2812,491,,
26/03/2020,Alabama,4099,1287,,
27/03/2020,Alabama,4771,672,,
28/03/2020,Alabama,4880,109,,
29/03/2020,Alabama,4990,110,,
30/03/2020,Alabama,6553,1563,,
31/03/2020,Alabama,7279,726,,
01/04/2020,Alabama,7774,495,,
02/04/2020,Alabama,8736,962,,
03/04/2020,Alabama,9619,883,,
04/04/2020,Alabama,10853,1234,,
05/04/2020,Alabama,13078,2225,,
06/04/2020,Alabama,14765,1687,,
07/04/2020,Alabama,14916,151,,
08/04/2020,Alabama,19122,4206,,
09/04/2020,Alabama,20827,1705,,
10/04/2020,Alabama,21026,199,,
11/04/2020,Alabama,21249,223,,
12/04/2020,Alabama,21583,334,,
13/04/2020,Alabama,29182,7599,,
14/04/2020,Alabama,33117,3935,,
15/04/2020,Alabama,34077,960,,
16/04/2020,Alabama,36391,2314,,
17/04/2020,Alabama,37848,1457,,
18/04/2020,Alabama,42538,4690,,
19/04/2020,Alabama,45712,3174,,
20/04/2020,Alabama,45900,188,,
21/04/2020,Alabama,48526,2626,,
22/04/2020,Alabama,48760,234,,
23/04/2020,Alabama,52641,3881,,
24/04/2020,Alabama,52695,54,,
25/04/2020,Alabama,71344,18649,,
26/04/2020,Alabama,73551,2207,,
27/04/2020,Alabama,73997,446,,
28/04/2020,Alabama,75827,1830,,
29/04/2020,Alabama,80449,4622,,
30/04/2020,Alabama,87196,6747,,
01/05/2020,Alabama,91933,4737,,
02/05/2020,Alabama,92209,276,,
03/05/2020,Alabama,92500,291,,
04/05/2020,Alabama,103117,10617,,
05/05/2020,Alabama,106766,3649,,
06/05/2020,Alabama,109516,2750,,
07/05/2020,Alabama,115173,5657,,
08/05/2020,Alabama,120114,4941,,
09/05/2020,Alabama,125494,5380,,
10/05/2020,Alabama,127421,1927,,
11/05/2020,Alabama,129444,2023,,
12/05/2020,Alabama,133218,3774,,
13/05/2020,Alabama,133218,0,,
14/05/2020,Alabama,136372,3154,,
15/05/2020,Alabama,146063,9691,,
16/05/2020,Alabama,153494,7431,,
17/05/2020,Alabama,156350,2856,,
18/05/2020,Alabama,157123,773,,
19/05/2020,Alabama,157566,443,,
20/05/2020,Alabama,164450,6884,,
21/05/2020,Alabama,170739,6289,,
22/05/2020,Alabama,177768,7029,,
23/05/2020,Alabama,182676,4908,,
24/05/2020,Alabama,185799,3123,,
25/05/2020,Alabama,190315,4516,,
26/05/2020,Alabama,193759,3444,,
27/05/2020,Alabama,195794,2035,,
28/05/2020,Alabama,200481,4687,,
29/05/2020,Alabama,208883,8402,,
30/05/2020,Alabama,212201,3318,,
31/05/2020,Alabama,221307,9106,,
01/06/2020,Alabama,223235,1928,,
02/06/2020,Alabama,223802,567,,
03/06/2020,Alabama,231297,7495,,
04/06/2020,Alabama,235299,4002,,
05/06/2020,Alabama,239159,3860,,
06/06/2020,Alabama,245310,6151,,
07/06/2020,Alabama,259232,13922,,
08/06/2020,Alabama,259232,0,,
09/06/2020,Alabama,267388,8156,,
10/06/2020,Alabama,272694,5306,,
11/06/2020,Alabama,278455,5761,,
12/06/2020,Alabama,286008,7553,,
13/06/2020,Alabama,292872,6864,,
14/06/2020,Alabama,297075,4203,,
15/06/2020,Alabama,302294,5219,,
16/06/2020,Alabama,305036,2742,,
17/06/2020,Alabama,310325,5289,,
18/06/2020,Alabama,322124,11799,,
19/06/2020,Alabama,330906,8782,,
20/06/2020,Alabama,339100,8194,,
21/06/2020,Alabama,344255,5155,,
22/06/2020,Alabama,348687,4432,,
23/06/2020,Alabama,353611,4924,,
24/06/2020,Alabama,358319,4708,,
25/06/2020,Alabama,369005,10686,,
