State,R0,psi,alpha,xi,k,A,I0,ag ,CumCase,Ratio,PeakCase,TimePeak,DaysAfter,EndCases,Deaths,RepCase
Alabama,2.15191931246257,175.981248943557,0.092415912877056,0.008087991940523,0.31859835324726,2052.11274167548,1537.95229742753,3.96673530013699,2.11066327769288,6.43879410851912,0.222785407226556,31,52,0.20265954973116,0.017170825085532,0.327804126381409
Alaska,3.97609360403255,365.770713122484,0.014289204750132,0.002721323999024,0.507838433270225,488.027720745013,588.606004674294,13.3506232178183,0.475795925407463,7.33518684005216,0.192707240492349,6,51,0.020690280276303,0.001301060672533,0.064864867900772
Arizona,1.84594342791081,376.129630439748,0.142853041522944,0.015553970643584,0.460278004122613,5765.48485359714,6.12245564035526,12.2727424572555,1.1493993473834,4.47383320614848,0.127472605484113,121,5,0.127429294985638,0.018008266994823,0.256916003440575
Arkansas,2.60635255021435,358.862206502873,0.142856962408828,0.004052743351352,0.295782407781729,1566.4363674022,186.048461091642,0.84002190676726,1.72153042714707,7.56570517094204,0.180751253940197,51,50,0.179248425461116,0.006428945985701,0.227543948415944
California,2.14928484821984,231.347079863418,0.062737254268608,0.01172332808355,0.637225431060493,90813.1655,4.94593892434786,4.86513217590331,1.18513136770822,4.53576174366224,0.132575528697166,78,4,0.105268826256291,0.013977559365943,0.26128607159849
Colorado,1.77253861552201,28.6786662224354,0.013619476979126,0.009038526904397,0.264822002606127,2710.41740362509,1999.99998495057,2.58992716526213,3.23484162901907,7.49101048093129,0.474384995033369,42,44,0.139960655211209,0.028948657525747,0.431829809510147
Connecticut,2.38876372534683,14.1254520931994,0.014031933886265,0.015704650420231,0.448507449127596,5767.51066666667,747.370625298671,3.12139945705334,7.72403784216459,6.79682088660614,1.60636342466426,35,47,0.225172520539689,0.120882629695008,1.13641921289785
Delaware,1.82352305304444,10.8075350714255,0.009641132421799,0.006239234732239,0.376922265901526,1323.82246547922,523.043577802225,2.40004522710059,7.32590035370082,7.63000877373937,1.1937593574523,44,50,0.356892910281881,0.044789846504096,0.960143110046581
District of Columbia,1.76655129754912,10.7242315456815,0.013247919294617,0.009546965153225,0.408464387952847,1039.7495,606.137488262225,25,7.88413656581296,6.81005700032237,1.17555309693671,42,46,0.347903869821387,0.075267058566124,1.15771961459937
Florida,2.93927876772196,190.032670244975,0.044359783488136,0.010680564272525,0.408210604310873,11517.2281021955,65.3314094896365,2.89562713066844,1.35919789979493,5.12139610059471,0.200223727956778,35,40,0.111574527528436,0.014599328524884,0.265395972718668
